"site","plot","year","julian","time","temp"
"A","A_01",2012,190,12.5,33.2
"A","A_01",2013,172,15.58333333,20.1
"A","A_01",2015,198,13,23.3
"A","A_01",2016,165,12.33333333,25.5
"A","A_01",2017,157,14.33333333,24.3
"A","A_02",2012,190,13.81666667,33.2
"A","A_02",2013,172,14.83333333,20.1
"A","A_02",2015,198,12,23.2
"A","A_02",2016,162,11.5,22.4
"A","A_02",2017,157,13.16666667,25.65
"B","B_01",2012,199,10.76666667,30
"B","B_01",2013,155,11.25,22.2
"B","B_01",2015,168,11,30.5
"B","B_01",2016,174,9.166666667,28
"B","B_01",2017,173,9.366666667,25.7
"B","B_02",2012,199,11.43333333,30
"B","B_02",2013,155,13.5,22.2
"B","B_02",2015,169,11.91666667,27.4
"B","B_02",2016,174,11.16666667,28.1
"B","B_02",2017,173,11.08333333,27.7
"B","B_03",2012,199,12.93333333,30.1
"B","B_03",2013,155,14.66666667,22.1
"B","B_03",2015,168,13,30.5
"B","B_03",2016,173,12.41666667,27
"B","B_03",2017,173,12.3,28.2
"B","B_04",2012,199,13.46666667,30.1
"B","B_04",2013,155,15.51666667,22.1
"B","B_04",2015,166,8.333333333,29.1
"B","B_04",2016,173,10.25,27.1
"B","B_04",2017,173,13.58333333,28.2
"B","B_05",2012,199,14.03333333,30.1
"B","B_05",2013,168,10.08333333,26.9
"B","B_05",2015,166,8.333333333,29
"B","B_05",2016,173,11.16666667,27
"B","B_05",2017,173,8.033333333,23.75
"C","C_01",2012,199,14.55,30
"C","C_01",2013,155,16.6,22.2
"C","C_01",2015,168,9.25,30.4
"C","C_01",2016,173,9.25,26.9
"C","C_01",2017,161,11.58333333,28.45
"C","C_02",2012,193,14.06666667,26.2
"C","C_02",2013,156,15.93333333,19.6
"C","C_02",2015,169,11,27.3
"C","C_02",2016,179,9.25,22.9
"C","C_02",2017,161,12.78333333,28.75
"C","C_03",2012,193,13.51666667,26.1
"C","C_03",2013,156,14.91666667,19.6
"C","C_03",2015,170,10.25,29
"C","C_03",2016,179,10.66666667,22.8
"C","C_03",2017,161,14.23333333,28.6
"C","C_04",2012,193,12.95,26.1
"C","C_04",2013,156,14.16666667,19.5
"C","C_04",2015,169,9.583333333,27.1
"C","C_04",2016,179,12.41666667,22.7
"C","C_04",2017,161,15.48333333,28.25
"C","C_05",2012,193,12.08333333,26
"C","C_05",2013,156,13.03333333,19.4
"C","C_05",2015,169,8.75,27
"C","C_05",2016,179,13.66666667,22.5
"C","C_05",2017,161,16.65,27.85
"C","C_06",2012,193,11.25,26
"C","C_06",2013,156,11.91666667,19.4
"C","C_06",2015,170,7.666666667,28.8
"C","C_06",2016,182,9.083333333,24.9
"C","C_06",2017,164,8.166666667,24.25
"D","D_01",2012,200,10.83333333,30.7
"D","D_01",2013,156,12.7,19.3
"D","D_01",2015,177,11,26.4
"D","D_01",2016,188,11,28.5
"D","D_01",2017,159,14.45,19.6
"D","D_02",2012,200,9.416666667,30.6
"D","D_02",2013,168,14.03333333,26.6
"D","D_02",2015,177,11.75,26.3
"D","D_02",2016,188,10.3,28.5
"D","D_02",2017,159,13.25,18.45
"D","D_03",2012,200,9.833333333,30.6
"D","D_03",2013,168,15.58333333,26.7
"D","D_03",2015,175,13.83333333,29.9
"D","D_03",2016,208,10,31.1
"D","D_03",2017,158,16.25,18.5
"D","D_04",2012,200,10.5,30.5
"D","D_04",2013,168,16.41666667,26.7
"D","D_04",2015,172,14.5,28.9
"D","D_04",2016,208,9.583333333,31.1
"D","D_04",2017,158,15.45,19.75
"B","B_06",2012,199,10.2,30
"B","B_06",2013,155,12.3,22.2
"B","B_06",2015,168,10,30.5
"B","B_06",2016,174,10.16666667,28.1
"B","B_06",2017,173,9.966666667,26.65
"E","E_03",2012,208,11.15,25.8
"E","E_03",2013,184,13.93333333,26.9
"E","E_03",2015,184,12,24.7
"E","E_03",2016,204,13.41666667,26.9
"E","E_03",2017,188,10.63333333,27.4
"E","E_06",2012,208,11.96666667,25.8
"E","E_06",2013,184,12.3,27
"E","E_06",2015,183,12.75,26
"E","E_06",2016,204,13.91666667,27
"E","E_06",2017,188,11.5,28.65
"E","E_07",2012,207,12.81666667,27.8
"E","E_07",2013,197,14.13333333,28.9
"E","E_07",2015,179,15.16666667,26.4
"E","E_07",2016,204,12.66666667,27
"E","E_07",2017,184,14.26666667,30.65
"F","F_01",2012,207,12.5,28
"F","F_01",2013,171,13.16666667,19.8
"F","F_01",2015,178,12.25,24.6
"F","F_01",2016,189,13.58333333,29.2
"F","F_01",2017,185,14.6,30.6
"F","F_02",2012,208,9.033333333,26.5
"F","F_02",2013,179,14.83333333,27.3
"F","F_02",2015,178,16.75,24.4
