"site","plot","year","obs","julian","time","nymphs","ec"
"A","A_01",2012,"1",190,15,10,0
"A","A_01",2013,"1",172,15.58333333,6,0
"A","A_01",2015,"1",198,13,2,0
"A","A_01",2016,"1",165,12.33333333,0,0
"A","A_01",2017,"NSA",157,14.33333333,0,0
"A","A_01",2017,"NSB",157,14.33333333,1,0
"A","A_01",2017,"EWA",157,14.33333333,2,0
"A","A_01",2017,"EWB",157,14.33333333,7,0
"A","A_02",2013,"1",172,14.83333333,20,0
"A","A_02",2015,"1",198,12,20,0
"A","A_02",2016,"1",162,11.5,14,1
"A","A_02",2017,"NSA",157,13.16666667,2,0
"A","A_02",2017,"NSB",157,13.16666667,0,0
"A","A_02",2017,"EWA",157,13.16666667,2,0
"A","A_02",2017,"EWB",157,13.16666667,2,0
"A","A_03",2012,"1",191,12.58333333,1,0
"A","A_03",2013,"1",172,13,1,0
"A","A_03",2015,"1",171,13.41666667,1,0
"A","A_03",2016,"1",165,11.08333333,2,0
"A","A_03",2017,"NSA",155,12.31666667,0,0
"A","A_03",2017,"NSB",155,12.31666667,0,0
"A","A_03",2017,"EWA",155,12.31666667,0,0
"A","A_03",2017,"EWB",155,12.31666667,0,0
"A","A_04",2012,"1",191,15.33333333,20,0
"A","A_04",2013,"1",172,13.7,6,0
"A","A_04",2015,"1",171,14.75,11,0
"A","A_04",2016,"1",165,13.5,20,0
"A","A_04",2017,"NSA",155,8.183333333,4,0
"A","A_04",2017,"NSB",155,8.183333333,5,0
"A","A_04",2017,"EWA",155,8.183333333,0,0
"A","A_04",2017,"EWB",155,8.183333333,0,0
"A","A_05",2012,"1",191,14.63333333,5,0
"A","A_05",2013,"1",179,17.36666667,9,1
"A","A_05",2015,"1",172,14.21666667,3,0
"A","A_05",2016,"1",162,12.75,0,0
"A","A_05",2017,"NSA",155,9.283333333,2,0
"A","A_05",2017,"NSB",155,9.283333333,0,0
"A","A_05",2017,"EWA",155,9.283333333,0,0
"A","A_05",2017,"EWB",155,9.283333333,0,0
"A","A_06",2012,"1",191,13.65,8,0
"A","A_06",2013,"1",172,12.25,4,0
"A","A_06",2015,"1",171,12.58333333,4,0
"A","A_06",2016,"1",165,9.833333333,4,0
"A","A_06",2017,"NSA",155,10.06666667,0,0
"A","A_06",2017,"NSB",155,10.06666667,0,0
"A","A_06",2017,"EWA",155,10.06666667,0,0
"A","A_06",2017,"EWB",155,10.06666667,1,0
"A","A_07",2015,"1",172,11.41666667,0,0
"A","A_07",2016,"1",162,10.66666667,0,0
"A","A_07",2017,"NSA",155,11.08333333,1,0
"A","A_07",2017,"NSB",155,11.08333333,0,0
"A","A_07",2017,"EWA",155,11.08333333,0,0
"A","A_07",2017,"EWB",155,11.08333333,1,0
"B","B_01",2013,"1",155,11.25,1,0
"B","B_01",2015,"1",168,11,0,0
"B","B_01",2016,"1",174,9.166666667,7,1
"B","B_01",2017,"NSA",173,9.116666667,0,0
"B","B_01",2017,"NSB",173,9.366666667,0,0
"B","B_01",2017,"EWA",173,9.116666667,0,0
"B","B_01",2017,"EWB",173,9.366666667,0,0
"B","B_02",2012,"1",199,11.43333333,3,0
"B","B_02",2013,"1",155,13.5,6,0
"B","B_02",2015,"1",169,11.91666667,4,0
"B","B_02",2016,"1",174,11.16666667,5,0
"B","B_02",2017,"NSA",173,11.08333333,3,0
"B","B_02",2017,"NSB",173,11.08333333,1,0
"B","B_02",2017,"EWA",173,11.08333333,1,0
"B","B_02",2017,"EWB",173,11.08333333,0,0
"B","B_03",2012,"1",199,12.93333333,1,0
"B","B_03",2013,"1",155,14.66666667,1,0
"B","B_03",2015,"1",168,13,0,0
"B","B_03",2017,"NSA",173,12.3,1,0
"B","B_03",2017,"NSB",173,12.3,0,0
"B","B_03",2017,"EWA",173,12.3,0,0
"B","B_03",2017,"EWB",173,12.3,0,0
"B","B_04",2012,"1",199,13.46666667,5,0
"B","B_04",2013,"1",155,15.51666667,1,0
"B","B_04",2015,"1",166,8.333333333,0,0
"B","B_04",2016,"1",173,10.25,2,0
